page	chars	preview
11	268	전남 순천시 상사면 꽃과나무 순천농원 순천만국가정원 초화류와 관목ㆍ교목 생산, 팥 꽃나무 및 남부수종 양묘 전문 농장입니다 대표수종 가시나무 배롱나무 블루애로우 먼나무 메리골드 페튜니아 조경용 초화류 백일홍 블루애로우 국화 꽃과 나무 꽃과 나무순천농원 Tel : 010-8602-3920 대표 : 서승기 PAGE 45 자세히보기 -전국조경수협동조합 이사장이 운영하는 남부수종 전문 농장 -순천만국가정원 사계절 경관 초화·조경수 생
12	1956	12 2026 K-GARDEN 2026 K-GARDEN 전국 조경수 ㆍ정원식물 농장 가이드북 윈터가든팜···············14 의왕 조경세상·············15 샤넬농원 ················16 황자매 황금농원· ··········17 천지식물원···············18 고인돌 농장· ·············19 엔젤나무정원· ············20 조비산 농원· ·············21 안
13	368	서울·경기지역 윈터가든팜······· 14 의왕 조경세상······· 15 샤넬농원 ······· 16 황자매 황금농원······· 17 천지식물원······· 18 고인돌 농장······· 19 엔젤나무정원······· 20 조비산 농원······· 21 안성고삼농원······· 22 느루나무농원······· 23 효원조경수농원······· 24 이천미산딸나무 전문농장······· 25 포천왕벚농원······· 26 이레 조
14	416	14 2026 K-GARDEN 주요대표수종 · 골드콘 · 블루엔젤 · 은청가문비 · 문그로우 · 스카이로켓 · 파스타기아타 · 콤팩트화살나무 · 잭큐몬티자작 · 자엽안개나무 · 키다리황금측백 · 라인골드 · 레드스타 · 아그배나무 대표 신호근 · 건축사 · 한국수목디자인대학 수료 · 나무학교 8,9,10,11기 수료 · 서울대 육묘업 교육 수료 골드콘 스카이로켓 유투브 인스타그램 블루엔젤 파스타기아타 은청가문비 콤팩트화살나무 
15	300	전국 조경수ㆍ정원식물농장 가이드북 15 블루아이스 골드스마라그 에메랄드 그린 써니스마라그 킹오브브라반트 블루엔젤 블루옐로우 문그로우 농장풍경 대표수종 의왕 조경세상의 나무는 화분재배로 키워 뿌리가 잘 보호되어 있어, 계절에 상관없이 식재해도 나무가 빠르게 자리를 잡습니다. 의왕 조경세상 주요대표수종 · 블루아이스 · 에메랄드그린 · 킹오브브라반트 · 블루옐로우 · 골드스마라그 · 써니스마라그 · 블루엔젤 · 문그로우 대표 박남
16	328	16 2026 K-GARDEN 여주·이천·음성·평택·횡성 등 중부지방에서 조경수를 생산하며, 약 8만평 농장에서 이식 훈련목을 다수 보유하고 있습니다. 농장풍경 꽃사과 마가목 겹벚나무 목련 느티나무 왕벚나무 대왕참나무 주목 대표수종 샤넬농원 주요대표수종 · 꽃사과 · 겹벚나무 · 느티나무 · 대왕참나무 · 마가목 · 목련 · 왕벚나무 · 주목 · 홍매화 · 모강주 · 산딸나무 · 은행나무 · 자엽자두 · 자작나무 대표 강병찬 
17	270	전국 조경수ㆍ정원식물농장 가이드북 17 써니스마라그 킹오브브라반트 문그로우 블루애로우 농장풍경 대표수종 선명한 초록과 황금빛의 써니스마라그를 비롯해, 생울타리·차폐에 강한 킹오브 브라반트, 원추형 수형의 문그로우와 은청빛 블루애로우를 생산합니다. 황자매 황금농원 주요대표수종 · 써니스마라그 · 킹오브브라반트 · 문그로우 · 블루애로우 대표 황인희 · 나무학교 11,12기 수료 A 경기도 화성시 양감면 경기도 평택시 진위면 M 
18	206	18 2026 K-GARDEN 대표 한부희ㆍ권종칠 · 식물보호기사 · 조경기능사 · 문화재조경기능장 · 나무학교 7기 수료 수사해당화 라일락 콤팩트화살 자작나무 농장풍경 대표수종 아담한 멋진 정원수를 지향하며 화분보관 천지식물원 주요대표수종 · 수사해당화 · 라일락 · 콤팩트화살 · 자작나무 A 경기도 여주시 북내면 M 010-6401-6749 서울 경기
19	249	전국 조경수ㆍ정원식물농장 가이드북 19 잭큐몬티자작나무 유럽분꽃나무 콤팩트화살나무 블루헤븐 대표수종 대표 최선희 농장풍경 고인돌 농장은 서울에 인접한 곳에 위치한 농장으로, 균형 잡힌 수형과 건강한 뿌리를 지닌 고품격 수목을 재배하여 조경 및 정원 식재에 공급하고 있습니다. 고인돌 농장 A 경기도 양주시 어둔동 M 010-7447-6773 주요대표수종 · 잭큐몬티자작나무 · 유럽분꽃나무 · 콤팩트화살나무 · 블루헤븐 서울 경기
20	195	20 2026 K-GARDEN 대표 김용희 · 나무학교 10기 수료 블루애로우 블루엔젤 핑크셀렉스 황금주목 농장풍경 대표수종 햇살과 바람속에서 가족이 함께 가꾼 정원수농장입니다. 건강한 수목만 전해드립니다. 엔젤나무정원 주요대표수종 · 블루애로우 · 블루엔젤 · 핑크셀렉스 A 경기도 여주시 북내면 M 010-5452-5503 서울 경기
21	289	전국 조경수ㆍ정원식물농장 가이드북 21 대표 구자안 농장풍경 수사해당화 블루애로우 칠자화 블루아이스 에메랄드그린 문그로우 블루엔젤 써니스마라그 대표수종 경기도 용인 백암면에 농장이 있으며, 직접 재배 경험을 바탕으로 한 그루 한 그루 책임지고 키우는 조경수·정원수 전문 농장입니다. 조비산 농원 A 경기도 용인시 백암면 M 010-3202-6620 주요대표수종 · 수사해당화 · 칠자화 · 에메랄드그린 · 블루엔젤 · 블루애로우 
22	230	22 2026 K-GARDEN 다양한 정원수, 조경수, 상록수, 유실수, 준공수를 대량생산해 저렴하게 판매하고 조경식재도 가능한 농원입니다. 대표 신승현 농장풍경 조형소나무 반송 공작단풍 화살나무 대표수종 안성고삼농원 주요대표수종 · 조형소나무 · 반송 · 공작단풍 · 수사해당화 · 외대화살나무 · 황금수양느릅 · 수양꽃사과 A 경기도 안성시 고삼면 M 010-2377-1810 블로그 서울 경기
23	275	전국 조경수ㆍ정원식물농장 가이드북 23 대표 송원석 · 나무학교 10, 12기 수료 농장풍경 느티나무 소나무 콤팩트화살나무 산딸나무 편백나무 에메랄드그린 청단풍 미산딸나무 대표수종 수형 좋은 나무를 키우는 화성특례시에 소재한 농장입니다. 국도 77번에 접해 있어 접근성이 뛰어납니다. 느루나무농원 A 경기도 화성시 우정읍 M 010-2018-7794 주요대표수종 · 느티나무 · 산딸나무 · 청단풍 · 미산딸나무 · 소나무 · 편
24	309	24 2026 K-GARDEN 수도권 교통의 요충지인 수원에 위치하여, 서울 및 경기 전역의 조경 공사 현장으로 지체 없이 가장 신속하고 안전하게 수목을 공급할 수 있습니다. 대표 정익화 · 조경기능사 · 도시농업관리사 · 나무학교 10기 수료 농장풍경 효원조경수농원 주요대표수종 · 블루엔젤 · 블루애로우 · 골든브라반트 · 에메랄드그린 · 파스티기아타 · 화이트핑크셀릭스 A 경기도 수원시 권선구 M 010-5287-1910 
25	278	전국 조경수ㆍ정원식물농장 가이드북 25 대표 오형선 · 나무학교 6기 수료 농장풍경 체로키취프 오작스프링 레인보우 스텔라화이트 베니후지 울프아이 스텔라핑크 사토미 대표수종 30여 품종의 미산딸나무 및 동양산딸을 보유한 최대규모의 산딸나무전문농장입니다. 이천미산딸나무 전문농장 A 경기도 이천시 대포동 M 010-8703-7562 주요대표수종 · 미산딸나무 전문(체로키취 프,레인보우, 스텔라핑크, 사토미, 오작스프링, 스텔라 화이
26	425	26 2026 K-GARDEN 왕벚나무 킹오브브라반트 블루엔젤 블루아이스 에머랄드그린 농장풍경 농장풍경 대표수종 대표수종 경기 포천에서 오랜 경험으로 건강하고 수형좋은 가로수용 및 공원용 왕벚나무를 전문으로 키우는 농장입니다. 항시 방문 환영합니다. 경기 화성에서 아름다운 여러종류의 나무 조경수재배 판매 및 시공을 전문으로 하는 농장입니다. 포천왕벚농원 이레 조경수 농원 대표 유재용 · 산림기사 대표 박용섭 · 조경기능사, 시
27	460	전국 조경수ㆍ정원식물농장 가이드북 27 풍성농장은 한두 가지 핵심 수종만 집중 재배합니다. 기계화를 통한 선진 원예 농법으로 철저하게 관리하여, 규격화된 고품질의 나무만을 생산하고 있습니다. 풍성농장 복자기 느티나무 메타세콰이어 농장풍경 대표수종 A 경기도 이천시 장호원읍 M 010-3314-9739 A 경기도 화성시 팔탄면 M 010-8743-1141 주요대표수종 · 복자기 · 느티나무 · 메타세콰이어 주요대표수종 · 그린자
28	1156	28 2026 K-GARDEN 농장명 샤넬농원 주 소 경기 여주시 가남읍, 경기 이천시 장호원읍 대 표 강병찬 대표수종 꽃사과, 계수나무, 느티나무, 때죽나무, 마가목, 모감주, 목련, 미측백, 매화, 메타세콰이어, 산딸나무, 산수유, 소나무, 스트로브잣나무, 왕벚나무, 은행, 자엽자두, 자작나무, 주목, 측백, 칠자화, 홍매화, 화살나무 연락처 010-5471-0521 농장명 윈터가든팜 주 소 경기도 화성시 팔탄면 노하리 대
29	914	전국 조경수ㆍ정원식물농장 가이드북 29 농장명 효원조경수농원 주 소 경기도 수원시 권선구 대 표 정익화 대표수종 블루엔젤, 블루애로우, 골든브라반트, 에메랄드그린, 파스티기아타, 화이트핑크셀릭스 연락처 010-5287-1910 농장명이천미산딸나무 전문농장주 소 경기도 이천시 대포동 대 표 오형선 대표수종 미산딸나무 전문(체로키취프,레인보우, 스텔라핑크, 사토미, 오작스프링, 스텔라화이트, 베니후지, 울프아이, 체로키선셋) 연락
30	1037	30 2026 K-GARDEN 농장명 테솔조경 주 소 경기도 광주시 신현동 대 표 강효석 대 표 수 종 소나무 육송, 소나무 반송, 주목, 산사나무, 산딸나무 연락처 010-7741-2273 농장명 대주농원 주 소 경기도 용인시 백암면 대 표 윤주현 대 표 수 종 왕벚나무, 플라밍고셀릭스 연락처 010-2255-4112 농장명 미미농장 주 소 경기도 평택시 현덕면 대안1길 대 표 오연섭 대 표 수 종 미산딸나무 전문 연락처 0
31	243	전북지역 혼불농장· ·········32 소양농장· ·········33 청계농장· ·········34 고창청학농원· ·········35 현수농원조경· ·········36 사람과나무· ·········37 체리원· ·········38 사람과자연수목원· ·········39 꽃과 나무· ·········39 2 0 2 6 K - G a r d e n 전국 조경수 ·정원식물농장 가 이 드 북
32	311	32 2026 K-GARDEN 농장풍경 블루엔젤 잭큐몬티도랜부스자작나무 파스티기아타 수사해당화 콤팩트화살나무 둥근측백 레드로빈 대표수종 지리산 정기 품은 혼불농장! 외목대 수형의 정원수와 튼튼한 묘목을 직접 생산합니다. 나무 하나하나에 진심을 담아 가꾸는 지킴이의 정성을 만나보세요. 혼불농장 대표 김은미 · 나무학교 2기, 12기 A 전북 남원시 사매면 M 010-9634-7428 주요대표수종 · 블루엔젤 · 파스티기아타 · 
33	284	전국 조경수ㆍ정원식물농장 가이드북 33 철쭉 황금개나리 회양목 삼색무늬병꽃 공조팝 자엽병꽃 꼬리조팝 미선나무 농장풍경 대표수종 완주 소양농장 김미자 대표가 철쭉·회양목을 직접 재배합니다. 묘목부터 출하까지 꼼꼼한 관리로 최상의 품질과 신뢰를 약속합니다. 소양농장 주요대표수종 · 철쭉 · 회양목 · 공조팝 · 꼬리조팝 · 황금개나리 · 삼색무늬병꽃 · 자엽병꽃 · 미선나무 · 명자흑광 외 대표 김미자 · 나무학교 12기 A 전북
34	273	34 2026 K-GARDEN 대표 정정모 · 나무학교 1기 농장풍경 느티나무 왕벚나무 왕벚나무 겹벚나무 메타세콰이어 메타세콰이어 대왕참나무 대왕참나무 대표수종 청계농장은 느티나무, 왕벚나무, 메타세콰이어 등 다양한 교목류 전문입니다. 조경수부터 가로수까지, 어디든 어울리는 튼튼하고 잘 자란 나무를 만나보세요. 청계농장 A 전북 임실군 청웅면 M 010-3670-6154 주요대표수종 · 느티나무 · 왕벚나무 · 메타세콰이어 ·
35	244	전국 조경수ㆍ정원식물농장 가이드북 35 A 전북 고창군 신림면 M 010-3159-0043 주요대표수종 · 셀릭스 · 다래 · 사초 · 목수국 · 각종 측백류 대표 오정숙 · 조경기능사 · 종자기능사 셀릭스 다래 사초 목수국 농장풍경 대표수종 고창청학농원은 셀릭스, 목수국 등 100여 종을 직접 기릅니다. 99% 자체 삽목으로 묘목부터 성목까지 정직과 신뢰를 담은 조경수 전문 농장입니다. 고창청학농원 전라 북도
36	315	36 2026 K-GARDEN 농장풍경 직간(조형)소나무 낙상홍 노아시 진달래 정금나무 배롱나무 대형철쭉 산감나무 대표수종 전북 정읍에서 1만 여 평을 직접 경영하고 있는 농원으로 부담없이 구입 가능하며 정성껏 키운 조경수들이 있습니다. 현수농원조경 대표 송현수 · 조경기능사 · 종자기능사 · 전지-전정-예초작업 · 경미한 공사 가능 · 나무학교 7기 A 전북 정읍시 소성면 M 010-2605-4827 주요대표수종 · 직간(조
37	269	전국 조경수ㆍ정원식물농장 가이드북 37 직립느티나무 칠자화 루브룸단풍 애기배롱 농장풍경 대표수종 부안 10만평, 35년 내공의 명품 조경수! 현장과 농장을 아우르는 노하우로 수형부터 분작업까지 완벽합니다. 관공서 납품도 자신 있는 품질을 약속합니다. 사람과나무 A 전북 부안군 주산면 M 010-9099-7801 주요대표수종 · 직립느티나무 · 칠자화 · 루브룸단풍 · 애기배롱 · 홍가시(레드로빈) 대표 이용연 · 조경기사 1급
38	232	38 2026 K-GARDEN 특수목 소나무 해송 적송 분재형소나무 농장풍경 대표수종 소나무를 분재형으로 키워온 30여 년 농장으로, 수고 2.5~3m급 수형이 뛰어난 수목을 3,000평 농장에서 포인트목 위주로 관리하고 있습니다. 체리원 대표 김갑배 · 나무학교 5기 A 전북 완주군 소양면 M 010-4783-0800 주요대표수종 · 특수목 소나무 · 해송 · 적송 · 분재형소나무 유투브 전라 북도
39	510	전국 조경수ㆍ정원식물농장 가이드북 39 느티나무 팽나무 배롱나무 모감주 리틀자이언트 콤팩트화살나무 블루엔젤 목수국라임라이트 농장풍경 농장풍경 대표수종 대표수종 전북 장수군 꽃과 나무 농원은 사계절 아름다운 정원을 완성할 수 있는 수종을 직접 키우며, 품질 좋은 수목을 안정적으로 공급하고 있습니다. 전북 고창에서 교목 위주로 수목을 키우고 있습니다. 이번 기회가 저에게 배움은 물론 여러분들께 도움이 되었으면 합니다. 꽃과 나무 
40	975	40 2026 K-GARDEN 전북지역농장 한눈에 보기 농장명 사람과나무 주 소 전북 부안군 주산면 일원 대 표 이용연 대 표 수 종 직립느티나무, 칠자화, 루브룸단풍, 애기배롱나무, 홍가시(레드로빈) 연락처 010 9099 7801 농장명 혼불농장 주 소 전북 남원시 사매면 대 표 김은미 대 표 수 종 블루엔젤, 파스티기아타, 콤팩트화살나무, 레드로빈(미니외목대), 잭큐몬티도랜부스자작나무, 수사해당화, 둥근측백 등 연락처 0
41	487	전국 조경수ㆍ정원식물농장 가이드북 41 농장명 나무향기 주 소 전북 김제시 용지면 봉의리 대 표 박서영 대 표 수 종 이팝나무, 팥배나무, 보리수, 철쭉, 회양목, 핑크벨로우, 유럽분꽃나무, 목수국, 수수꽃다리, 진달래 등 연락처 010-3255-0600 농장명 농업회사법인(주) 종묘 나무농원 주 소 전북 임실군 임실읍 대 표 설승환 대 표 수 종 왕벚나무, 꽃나무 전문농장, 단풍나무, 편백나무, 포포나무 연락처 010-660
42	813	많은 분들이 “중부와 남부는 심는 나무가 다르지 않나요?” 라고 생각하지만, 사실 가장 큰 차이는 나무의 종류가 아닙니다. - 같은 나무를 심어도 - 피는 시기와 기간에 따라 - 정원의 모습은 달라집니다. 🌸중부지방 꽃정원의 특징 중부지방은 계절 변화가 뚜렷해 봄에 꽃이 집중되는 정원이 특징입니다. 개화 시기가 비교적 늦고 꽃이 피는 기간은 짧고 선명하며 겨울에는 꽃보다는 상록수와 수형, 줄기 형태가 중심이 됩니다. 특히 4~
43	302	전남지역 나무를사랑하는 부부· ·········44 꽃과나무(순천농원)· ·········45 바람숲농원· ·········46 곡성나무향기· ·········47 순희농장· ·········48 성천수목원· ·········49 소록도 나무사랑· ·········50 춘양우리농원· ·········50 영암월출농장· ·········51 맑은숲농원· ·········51 해창묘목농원· ·········52 2 0 2 6 K 
44	285	44 2026 K-GARDEN 주요대표수종 · 꽃동백 · 노아시 · 공작단풍 · 금송 · 만병초 · 백일홍 · 핑크벨로 · 다이너마이트 등 대표 변동하/김금희 · 조경기능사 · 종자기능사 · 나무학교 8기~12기 꽃동백 노아시 공작단풍 금송 농장풍경 대표수종 전남 장성 ‘나무를 사랑하는 부부’ 농장. 변동하·김금희 부부의 꽃동백, 공작단풍 등 명품 조경수! 품격 있는 나무를 찾는 분께 추천합니다. 나무를 사랑하는 부부 A 전남
45	236	전국 조경수ㆍ정원식물농장 가이드북 45 배롱나무 다음카페 나무사랑연구회 가시나무 먼나무 팥꽃나무 대표수종 농장풍경 순천만국가정원 초화류와 관목·교목 생산, 팥 꽃나무 및 남부수종 양묘 전문 농장입니다 꽃과나무(순천농원) 주요대표수종 · 배롱나무 · 가시나무 · 먼나무 · 팥꽃나무 · 철쭉 대표 서승기 · 전국조경수협동조합이사장 · 나무학교 강사 A 전남 순천시 상사면 M 010-8602-3920 전라 남도
46	351	46 2026 K-GARDEN 주요대표수종 · 공작단풍 · 배롱나무 · 배롱나무(핑크벨로우) · 미산딸나무 · 블루엔젤 · 직립느티나무 · 잭큐몬티도랜부스자작나무 대표 서옥현 · 산림기능사 · 전)나무사랑연구회 전라지부장 · 전) 나무사랑연구회 창립멤버 · 전국조경수협동조합 감사 공작단풍 블루엔젤 배롱나무 직립느티나무 배롱나무(핑크벨로우) 잭큐몬티도랜부스자작나무 미산딸나무 농장풍경 대표수종 전남 나주시 다시면의 바람숲농원은 3
47	356	전국 조경수ㆍ정원식물농장 가이드북 47 주요대표수종 · 킹오브브라반트 · 골든브라반트 · 문그로우 · 블루애로우 · 써니스마라그 · 골드스마라그 · 홍가시 · 플라밍고셀릭스 대표 강나현 · 농산물품질관리사 · 식물보호기사 · 화훼장식기사 · 원예심리지도사 1급 · 전조협 나무학교 11기 킹오브브라반트 써니스마라그 블로그 인스타그램 골든브라반트 골드스마라그 문그로우 홍가시 플라밍고셀릭스 블루애로우 농장풍경 대표수종 A 전남 곡성
48	214	48 2026 K-GARDEN 주요대표수종 · 맥문동 · 백일홍나무 · 야생화 · 관목 · 사초류 대표 이순희 맥문동 백일홍나무 야생화 애기동백 농장풍경 대표수종 순희농장은 정원과 조경에 어울리는 아름답고 실용적인 수목을 직접 키우며, 황금사철과 같은 인기 품종도 함께 보유하고 있습니다. 순희농장 A 광주광역시 서구 용두동 M 010-8398-6800 전라 남도
49	269	전국 조경수ㆍ정원식물농장 가이드북 49 홍가시(레드로빈) 은목서 꽃댕강 애기동백 황금사철 미니배롱 먼나무 피라칸 사스 농장풍경 대표수종 전남 순천시에 위치한 성천수목원은 다양한 정원 및 조경 환경에 어울리는 수목을 직접 키우며, 품질과 생육이 우수한 나무를 안정적으로 공급합니다. 성천수목원 주요대표수종 · 홍가시(레드로빈) · 꽃댕강 · 황금사철 · 먼나무 · 은목서 · 애기동백 등 대표 신춘호 A 전남 순천시 낙안면 M 01
50	473	50 2026 K-GARDEN 스트로브잣나무 배롱나무 유자나무 동백나무 미니배롱나무 농장풍경 농장풍경 대표수종 대표수종 전남 고흥 소록도 나무사랑, 해풍 맞고 자란 튼튼한 스트로브잣나무와 배롱, 유자, 동백으로 남녘의 생기를 담은 아름다운 정원을 선물해 드립니다. 춘양우리농원, 왜성미니배롱과 배롱나무 전문! 꽃과 수형이 빼어난 명품 배롱나무와 다양한 조경수로 당신의 정원에 화려한 아름다움을 더해 드립니다. 소록도 나무사랑 춘양
51	425	전국 조경수ㆍ정원식물농장 가이드북 51 전남 영암 영암월출농장, 인기 조경수 전문! 직접 생산한 다양한 고품질 수목으로 정원과 조경 공간에 딱 맞는 최적의 아름다움을 선사해 드립니다. 영암월출농장 블루아이스 블루애로우 써니스마러그 킹오브브라반트 농장풍경 대표수종 A 전남 영암군 도포면 M 010-3005-8528 A 광주시 서구 마륵벽진길 M 010-3729-1126 주요대표수종 · 블루아이스 · 블루애로우 · 써니스마러그 ·
52	245	52 2026 K-GARDEN 잭큐몬티도랜부스자작나무 블루엔젤 문그로우 블루애로우 농장풍경 대표수종 해창묘목농원, 블루엔젤·블루애로우·에메랄드그린 전문! 직접 기른 고품질 묘목을 안정적으로 공급해 당신의 정원에 푸른 가치를 심어 드립니다. 해창묘목농원 대표 김대정 · 건축설비기사 A 전남 해남군 삼산면 M 010-8225-4505 주요대표수종 · 잭큐몬티도랜부스자작나무 · 블루엔젤 · 문그로우 · 블루애로우 전라 남도
53	966	전국 조경수ㆍ정원식물농장 가이드북 53 전남지역농장 한눈에 보기 농장명 꽃과나무(순천농원) 주 소 전남 순천시 상사면 대 표 서승기 대 표 수 종 배롱나무, 가시나무, 먼나무, 팥꽃나무, 철쭉 연락처 010-8602-3920 농장명 나무를사랑하는 부부 주 소 전남 장성군 북이면 대 표 변동하/김금희 대 표 수 종 꽃동백, 노아시, 공작단풍, 금송, 만병초 연락처 010-8645-7667 농장명 바람숲농원 주 소 전남 나주시 다
54	799	54 2026 K-GARDEN 농장명 순희농장 주 소 광주광역시 서구 용두동 대 표 이순희 대 표 수 종 배롱나무, 맥문동, 애란, 사초류, 관목 연락처 010-8366-7723 농장명 해창묘목농원 주 소 전남 해남군 삼산면 원진리 대 표 김대정 대 표 수 종 잭큐몬티도랜부스자작나무, 블루엔젤, 문그로우, 블루애로우 연락처 010-8225-4505 농장명 가산농원 주 소 전남 고흥군 과역면 대 표 최은식 대 표 수 종 홍가시(
55	310	전국 조경수ㆍ정원식물농장 가이드북 55 농장명 미소농원 주 소 전남 나주시 노안면 대 표 정성연 대 표 수 종 반송, 수양단풍, 황금편백, 에메랄드그린, 스카이로켓 연락처 010-6790-8494 농장명 달그리안 주 소 전남 화순군 이양면 대 표 정승현 대 표 수 종 목수국, 썸머수국, 유럽수종, 셀프레아, 잭큐몬티도랜부스자작나무, 블루아이스, 야생화 연락처 010-2151-2901 농장명 순천사라농원 주 소 전남 순천시 서면
56	638	🌸겨울 관상 우수 수종 컬러 테마 겨울 관상 포인트 대표 수종 은청·블루 침엽 잎색 유지 은청가문비, 블루엔젤, 블루아이스, 블루애로우, 블루헤븐, 실버퀸전나무, 은청전나무, 글라우카전나무, 코니카 블루형, 시베리아가문비(은청계통) 노랑·연두 잎·줄기 색감 골드콘, 골드스마라그, 써니스마라그, 에메랄드골드, 골든브라반트, 키다리황금측백, 황금사철(반상록), 황금회양목, 황금느티나무 빨강·주황 줄기 색 관상 말채나무(레드도그우드
57	251	충남지역 사계절묘목농원· ·········58 양촌식물원· ·········59 부여계룡농원· ·········60 서와실농원· ·········61 공주초록농원· ·········62 황금빛농원· ·········63 수림조경건설(주)· ·········63 예그린농원· ·········64 한그루조경· ·········64 2 0 2 6 K - G a r d e n 전국 조경수 ·정원식물농장 가 이 드 북
58	297	58 2026 K-GARDEN 주요대표수종 · 콤팩트화살나무 · 미산딸나무 · 목련 · 사계라일락 · 분홍수양때죽나무 · 수국 등 정원수 · 관상수묘목 대표 이준수 · 종자기능사 · 나무학교 7기 콤팩트화살나무 분홍수양때죽나무 유투브 미산딸나무 수국 목련 사계라일락 농장풍경 대표수종 충남 예산에 위치한 사계절묘목농원은 콤팩트화살나무, 미산딸나무, 사계라일락, 분홍수양때죽나무, 수국 등 다양한 정원수·관상수 묘목을 재배합니다. 
59	317	전국 조경수ㆍ정원식물농장 가이드북 59 주요대표수종 · 블루엔젤 · 콤팩트화살나무 · 미산딸나무 · 라일락 · 분홍수양때죽나무 · 수국 · 홍가시(레드로빈) · 수사해당화 · 셀릭스 대표 오일석 · 나무학교 6기 블루엔젤 분홍수양때죽나무 유투브 블로그 콤팩트화살나무 수국 미산딸나무 홍가시(레드로빈) 라일락 농장풍경 대표수종 A 충남 논산시 양촌면 M 010-7218-7964 충남 논산 양촌식물원은 화분묘, 포트묘 등 각종 조경
60	317	60 2026 K-GARDEN 주요대표수종 · 블루엔젤 · 문그로우 · 스카이로켓향나무 · 서양측백 · 블루아이스 · 셀프레아 · 화이트핑크셀릭스 · 수사해당화 대표 김진근 · 식물보호기사 · 조경기능사 · 나무학교 6기 블루엔젤 블루아이스 유투브 블로그 문그로우 셀프레아 스카이로켓향나무 화이트핑크셀릭스 서양측백 수사해당화 농장풍경 대표수종 정원·조경 관급용 전문 부여계룡농원! 독특한 색감과 수형의 명품 조경수로 당신만의 특별
61	350	전국 조경수ㆍ정원식물농장 가이드북 61 주요대표수종 · 목수국 · 블루헤븐 · 둥근측백(리틀자이언트) · 에메랄드그린 · 블루엔젤 · 수사해당화 · 직립느티나무 · 팥배나무 · 왕벚나무 대표 주영근 · 나무학교 5, 7, 8, 9, 10, 11기 수료 목수국 블루엔젤 유투브 블로그 블루헤븐 수사해당화 둥근측백(리틀자이언트) 직립느티나무 에메랄드그린 팥배나무 농장풍경 대표수종 A 충남 부여군 부여읍 M 010-2077-2989 
